date,numflights,totaldelay,avgdelay,numdelay15
6/5/1989,2031,6945,-3,134
6/6/1989,2014,7473,-2,158
6/7/1989,2018,58577,0,848
6/8/1989,2045,13847,37,215
6/9/1989,2045,10942,3,238
6/10/1989,2029,9819,-1,199
6/11/1989,2019,7826,2,129
6/12/1989,2051,74007,0,1131
6/13/1989,2005,70507,-1,894
6/14/1989,2091,64294,5,823
6/15/1989,2035,14684,-1,261
6/16/1989,2063,15591,1,333
6/17/1989,2025,4981,-1,80
6/18/1989,2023,6604,3,122
6/19/1989,2027,11728,-1,240
6/20/1989,2022,9758,-3,210
6/21/1989,2051,15046,0,305
6/22/1989,2019,16217,0,272
6/23/1989,2052,21990,0,328
6/24/1989,2008,6165,-1,104
6/25/1989,2033,8733,1,135
6/26/1989,2022,30250,-2,356
6/27/1989,1995,16701,-1,307
6/28/1989,1993,13662,0,241
6/29/1989,1987,12086,1,197
6/30/1989,2012,11456,0,224
3/1/2008,1485,10065,-8,269
3/2/2008,1675,19864,-2,387
3/3/2008,1724,43543,48,748
3/4/2008,1709,18458,1,371
3/5/2008,1713,16862,-1,343
3/6/2008,1724,13805,-4,249
3/7/2008,1725,51072,-4,770
3/8/2008,1508,45815,15,568
3/9/2008,1679,33650,-2,562
3/10/2008,1721,17264,36,353
3/11/2008,1708,7586,-4,204
3/12/2008,1714,11885,1,273
3/13/2008,1727,13734,-7,332
3/14/2008,1728,22483,-5,433
3/15/2008,1508,25178,13,412
3/16/2008,1680,19224,-6,395
3/17/2008,1721,24047,-2,479
3/18/2008,1707,32917,25,431
3/19/2008,1713,52292,-5,803
3/20/2008,1728,37374,-4,571
3/21/2008,1728,48750,-4,575
3/22/2008,1507,25851,-9,466
3/23/2008,1680,21528,-3,380
3/24/2008,1724,13231,7,308
3/25/2008,1711,27413,18,489
3/26/2008,1713,17437,16,318
3/27/2008,1728,43605,85,536
3/28/2008,1727,29614,-4,543
3/29/2008,1508,12190,11,310
3/30/2008,1677,44567,16,653
3/31/2008,1721,54345,0,749
9/1/2003,2169,6035,-5,238
9/2/2003,2150,4170,-5,227
9/3/2003,2093,-2049,-3,114
9/4/2003,2110,7306,-1,230
9/5/2003,2119,155,-1,166
9/6/2003,1748,-2212,-2,83
9/7/2003,1974,2001,-4,160
9/8/2003,2115,-3015,-4,100
9/9/2003,2098,-5553,-6,79
9/10/2003,2098,-3090,-1,113
9/11/2003,1824,25788,-3,261
9/12/2003,2117,19952,2,451
9/13/2003,1748,-2769,-2,82
9/14/2003,1975,8848,0,283
9/15/2003,2116,5733,-1,190
9/16/2003,2098,-4939,-3,79
9/17/2003,2102,-3188,0,87
9/18/2003,2110,16304,10,382
9/19/2003,2119,1620,90,148
9/20/2003,1747,-2683,-3,74
9/21/2003,1973,5379,-3,187
9/22/2003,2115,-485,-4,133
9/23/2003,2096,-635,2,153
9/24/2003,2099,4573,-4,245
9/25/2003,2111,1019,-2,170
9/26/2003,2118,15424,-2,326
9/27/2003,1748,-180,22,113
9/28/2003,1972,8554,-4,257
9/29/2003,2116,-979,6,131
9/30/2003,2097,4732,-1,219
3/1/1999,1862,5858,26,148
3/2/1999,1851,6073,-3,151
3/3/1999,1858,13436,-8,254
3/4/1999,1859,10865,-5,231
3/5/1999,1851,17469,-5,257
3/6/1999,1685,49439,-2,522
3/7/1999,1783,33126,-4,566
3/8/1999,1853,62542,2,712
3/9/1999,1857,31655,-4,437
3/10/1999,1859,13018,-1,258
3/11/1999,1859,50621,-2,809
3/12/1999,1860,47223,25,783
3/13/1999,1688,15131,9,335
3/14/1999,1784,23532,-3,407
3/15/1999,1855,18626,-2,315
3/16/1999,1857,4225,-6,134
3/17/1999,1858,20739,45,366
3/18/1999,1860,15110,8,319
3/19/1999,1861,17639,27,284
3/20/1999,1688,14719,-3,245
3/21/1999,1785,16613,41,305
3/22/1999,1857,9865,-4,205
3/23/1999,1857,6872,9,161
3/24/1999,1861,11521,0,214
3/25/1999,1859,7873,31,168
3/26/1999,1861,10652,13,196
3/27/1999,1688,18166,-5,346
3/28/1999,1782,14233,-4,253
3/29/1999,1849,8387,-2,180
3/30/1999,1849,8301,0,163
3/31/1999,1849,6795,-2,168
9/1/1994,2026,30927,20,606
9/2/1994,2020,18618,10,450
9/3/1994,1857,1762,-4,45
9/4/1994,1893,811,-3,55
9/5/1994,1969,1385,4,47
9/6/1994,2012,2893,-1,64
9/7/1994,2030,1935,8,64
9/8/1994,1996,13640,67,334
9/9/1994,2001,4994,16,115
9/10/1994,1867,1298,0,53
9/11/1994,1921,2028,0,43
9/12/1994,2007,978,1,27
9/13/1994,2016,6029,-1,129
9/14/1994,2013,20023,1,436
9/15/1994,2028,13808,0,329
9/16/1994,2006,1888,7,41
9/17/1994,1856,949,-1,39
9/18/1994,1955,1174,0,40
9/19/1994,2021,2671,1,84
9/20/1994,2005,567,0,32
9/21/1994,2027,767,3,37
9/22/1994,2026,7525,0,156
9/23/1994,1994,6560,22,151
9/24/1994,1870,4946,0,158
9/25/1994,1944,4791,-2,111
9/26/1994,1994,1650,1,46
9/27/1994,2002,4947,-1,116
9/28/1994,2027,4794,-1,97
9/29/1994,2010,1775,-1,55
9/30/1994,1994,1898,-3,55
7/1/1989,1922,7546,0,155
7/2/1989,1910,14382,-1,218
7/3/1989,1938,2236,-2,64
7/4/1989,1962,2032,-2,50
7/5/1989,1970,8340,0,162
7/6/1989,1908,38678,0,416
7/7/1989,1948,8893,0,179
7/8/1989,1910,6789,-1,126
7/9/1989,1939,7142,0,139
7/10/1989,1986,6975,-1,119
7/11/1989,1967,20825,-2,280
7/12/1989,1934,11800,0,218
7/13/1989,1953,8186,0,132
7/14/1989,1969,6280,2,135
7/15/1989,1966,4068,-2,77
7/16/1989,1958,6324,-1,122
7/17/1989,1979,4804,1,85
7/18/1989,1949,24142,0,279
7/19/1989,1951,23976,1,417
7/20/1989,1936,10330,-2,237
7/21/1989,1923,19365,0,338
7/22/1989,1900,5079,-3,104
7/23/1989,1935,18081,2,356
7/24/1989,1964,6804,0,111
7/25/1989,1926,24123,23,327
7/26/1989,1928,29741,-2,445
7/27/1989,1925,33920,2,417
7/28/1989,1975,7690,2,126
7/29/1989,1949,6853,0,130
7/30/1989,1955,7519,0,151
7/31/1989,1964,6544,-1,151
4/1/2008,1709,29030,4,505
4/2/2008,1710,13602,-4,329
