year,state,people,,Sum of people,Column Labels,,,,,,,,,,,,,,
1995,AK,1880,,Row Labels,AK,AZ,CA,ID,ME,MI,MN,MT,ND,NM,NY,TX,VT,WA,Grand Total
1995,MN,61015,,,,,,,,,,,,,,,,,
1995,MN,123750,,,,,,,,,,,,,,,,,
1995,MN,12615,,,,,,,,,,,,,,,,,
1995,MN,1424,,,,,,,,,,,,,,,,,
1995,MN,8172,,,,,,,,,,,,,,,,,
1995,MN,25534,,,,,,,,,,,,,,,,,
1995,MT,6323,,,,,,,,,,,,,,,,,
1995,MT,1138,,,,,,,,,,,,,,,,,
1995,MT,873,,,,,,,,,,,,,,,,,
1995,MT,19080,,,,,,,,,,,,,,,,,
1995,MT,7519,,,,,,,,,,,,,,,,,
1995,MT,27049,,,,,,,,,,,,,,,,,
1995,MT,1821,,,,,,,,,,,,,,,,,
1995,MT,58930,,,,,,,,,,,,,,,,,
1995,MT,1325,,,,,,,,,,,,,,,,,
1995,MT,521,,,,,,,,,,,,,,,,,
1995,MT,369,,,,,,,,,,,,,,,,,
1995,NY,171676,,,,,,,,,,,,,,,,,
1995,NY,1532770,,,,,,,,,,,,,,,,,
1995,NY,369747,,,,,,,,,,,,,,,,,
1995,NY,300697,,,,,,,,,,,,,,,,,
1995,NY,77301,,,,,,,,,,,,,,,,,
1995,NY,48415,,,,,,,,,,,,,,,,,
1995,ND,1426,,,,,,,,,,,,,,,,,
1995,ND,2169,,,,,,,,,,,,,,,,,
1995,ND,2465,,,,,,,,,,,,,,,,,
1995,ND,11018,,,,,,,,,,,,,,,,,
1995,ND,3459,,,,,,,,,,,,,,,,,
1995,ND,1283,,,,,,,,,,,,,,,,,
1995,ND,2660,,,,,,,,,,,,,,,,,
1995,ND,3542,,,,,,,,,,,,,,,,,
1995,ND,9189,,,,,,,,,,,,,,,,,
1995,ND,9338,,,,,,,,,,,,,,,,,
1995,ND,3938,,,,,,,,,,,,,,,,,
1995,ND,67831,,,,,,,,,,,,,,,,,
1995,ND,34931,,,,,,,,,,,,,,,,,
1995,ND,1536,,,,,,,,,,,,,,,,,
1995,ND,3855,,,,,,,,,,,,,,,,,
1995,ND,4834,,,,,,,,,,,,,,,,,
1995,ND,6953,,,,,,,,,,,,,,,,,
1995,ND,2055,,,,,,,,,,,,,,,,,
1995,VT,16832,,,,,,,,,,,,,,,,,
1995,VT,142549,,,,,,,,,,,,,,,,,
1995,VT,96320,,,,,,,,,,,,,,,,,
